Date	Price	Open	High	Low	Vol.	Change %
"Dec 11, 2015"	0.001014	0.001052	0.00108	0.000971	32.47	-0.04
"Dec 10, 2015"	0.001052	0.001081	0.00109	0.000974	41.41	-0.03
"Dec 09, 2015"	0.001081	0.001056	0.001112	0.001006	69.22	0.02
"Dec 08, 2015"	0.001056	0.001067	0.001124	0.00097	77.29	-0.01
"Dec 07, 2015"	0.001067	0.001125	0.00116	0.001034	51.55	-0.05
"Dec 06, 2015"	0.001125	0.001128	0.001212	0.00108	87.91	0.00
"Dec 05, 2015"	0.001128	0.00102	0.001181	0.001011	114.53	0.11
"Dec 04, 2015"	0.00102	0.00101	0.00108	0.001006	49.23	0.01
"Dec 03, 2015"	0.00101	0.00103	0.00109	0.001005	41.52	-0.02
"Dec 02, 2015"	0.00103	0.001045	0.001097	0.001014	36.22	-0.01
"Dec 01, 2015"	0.001045	0.001043	0.001122	0.001	41.82	0.00
"Nov 30, 2015"	0.001043	0.001087	0.001159	0.001001	59.53	-0.04
"Nov 29, 2015"	0.001087	0.001095	0.00114	0.001056	25.26	-0.01
"Nov 28, 2015"	0.001095	0.001072	0.001107	0.001058	25.44	0.02
"Nov 27, 2015"	0.001072	0.001135	0.001179	0.001056	65.62	-0.06
"Nov 26, 2015"	0.001135	0.001183	0.001218	0.001096	60.88	-0.04
"Nov 25, 2015"	0.001183	0.001217	0.001239	0.001131	40.37	-0.03
"Nov 24, 2015"	0.001217	0.001199	0.001239	0.001165	24.61	0.02
"Nov 23, 2015"	0.001199	0.00121	0.00121	0.001162	14.88	-0.01
"Nov 22, 2015"	0.00121	0.001204	0.001212	0.001164	13.34	0.01
"Nov 21, 2015"	0.001204	0.00121	0.00127	0.00114	66.06	-0.01
"Nov 20, 2015"	0.00121	0.001249	0.001249	0.001182	17.12	-0.03
"Nov 19, 2015"	0.001249	0.001249	0.001295	0.001193	51.62	0.00
"Nov 18, 2015"	0.001249	0.001267	0.001295	0.00122	40.29	-0.01
"Nov 17, 2015"	0.001267	0.001318	0.001324	0.001267	16.28	-0.04
"Nov 16, 2015"	0.001318	0.001329	0.00137	0.00129	25.96	-0.01
"Nov 15, 2015"	0.001329	0.001262	0.001367	0.001262	40.03	0.05
"Nov 14, 2015"	0.001262	0.00135	0.001383	0.001262	38.46	-0.07
"Nov 13, 2015"	0.00135	0.00131	0.00143	0.001278	42.16	0.03
"Nov 12, 2015"	0.00131	0.001455	0.001455	0.001221	83.06	-0.10
"Nov 11, 2015"	0.001455	0.001367	0.001511	0.00135	76.02	0.06
"Nov 10, 2015"	0.001367	0.001231	0.001419	0.001231	51.24	0.11
"Nov 09, 2015"	0.001231	0.00135	0.001372	0.00122	60.17	-0.09
"Nov 08, 2015"	0.00135	0.001169	0.0015	0.001156	83.21	0.15
"Nov 07, 2015"	0.001169	0.00117	0.00124	0.001155	22.62	0.00
"Nov 06, 2015"	0.00117	0.001105	0.00123	0.001105	28.29	0.06
"Nov 05, 2015"	0.001105	0.001195	0.001248	0.001105	36.24	-0.08
"Nov 04, 2015"	0.001195	0.001093	0.001214	0.001025	149.39	0.09
"Nov 03, 2015"	0.001093	0.001211	0.001242	0.001068	136.33	-0.10
"Nov 02, 2015"	0.001211	0.001286	0.00133	0.0012	87.99	-0.06
"Nov 01, 2015"	0.001286	0.001277	0.001373	0.00127	52.27	0.01
"Oct 31, 2015"	0.001277	0.001365	0.001416	0.001263	38.66	-0.06
"Oct 30, 2015"	0.001365	0.001421	0.001467	0.001163	129.82	-0.04
"Oct 29, 2015"	0.001421	0.00142	0.001539	0.001358	99.87	0.00
"Oct 28, 2015"	0.00142	0.001377	0.001474	0.001338	72.45	0.03
"Oct 27, 2015"	0.001377	0.001348	0.001407	0.001334	44.58	0.02
"Oct 26, 2015"	0.001348	0.001439	0.001447	0.001334	42.00	-0.06
"Oct 25, 2015"	0.001439	0.001406	0.001448	0.001333	58.07	0.02
"Oct 24, 2015"	0.001406	0.001422	0.001423	0.001357	38.68	-0.01
"Oct 23, 2015"	0.001422	0.001475	0.001478	0.00141	48.80	-0.04
"Oct 22, 2015"	0.001475	0.001477	0.001481	0.00141	30.22	0.00
"Oct 21, 2015"	0.001477	0.001489	0.001491	0.0014	40.76	-0.01
"Oct 20, 2015"	0.001489	0.001461	0.001537	0.00141	80.20	0.02
"Oct 19, 2015"	0.001461	0.001562	0.001564	0.001455	61.01	-0.06
"Oct 18, 2015"	0.001562	0.001566	0.001593	0.00154	17.68	0.00
"Oct 17, 2015"	0.001566	0.001564	0.0016	0.001539	45.88	0.00
"Oct 16, 2015"	0.001564	0.001548	0.001594	0.001453	78.38	0.01
"Oct 15, 2015"	0.001548	0.00156	0.00157	0.0015	61.48	-0.01
"Oct 14, 2015"	0.00156	0.00156	0.00159	0.001542	32.97	0.00
"Oct 13, 2015"	0.00156	0.001624	0.001624	0.001535	47.99	-0.04
"Oct 12, 2015"	0.001624	0.001543	0.001648	0.00154	34.81	0.05
"Oct 11, 2015"	0.001543	0.00159	0.001658	0.00153	79.45	-0.03
"Oct 10, 2015"	0.00159	0.001625	0.001635	0.001571	25.59	-0.02
"Oct 09, 2015"	0.001625	0.00161	0.001661	0.001555	45.42	0.01
"Oct 08, 2015"	0.00161	0.001617	0.001694	0.001596	63.07	0.00
"Oct 07, 2015"	0.001617	0.001664	0.001718	0.001611	43.78	-0.03
"Oct 06, 2015"	0.001664	0.001746	0.001757	0.001643	20.33	-0.05
"Oct 05, 2015"	0.001746	0.001685	0.00179	0.0016	34.30	0.04
"Oct 04, 2015"	0.001685	0.00172	0.001721	0.001673	12.13	-0.02
